Algorithm,Instance,MetricName,ExecutionId,MetricValue,Evaluation,Time
AutoMOPSORE,DTLZ3,EP,1,1.0846691411102987,100,9.745
AutoMOPSORE,DTLZ3,EP,1,0.8911581755194211,200,23.788
AutoMOPSORE,DTLZ3,EP,1,0.7346708808617356,300,35.507
AutoMOPSORE,DTLZ3,EP,1,0.6224412991647179,400,49.018
AutoMOPSORE,DTLZ3,EP,1,0.5176913119733757,500,66.619
AutoMOPSORE,DTLZ3,EP,1,0.4253409209683803,600,82.422
AutoMOPSORE,DTLZ3,EP,1,0.36169801010360725,700,88.526
AutoMOPSORE,DTLZ3,EP,1,0.28134413588975976,800,98.169
AutoMOPSORE,DTLZ3,EP,1,0.25930380722038443,900,109.599
AutoMOPSORE,DTLZ3,EP,1,0.20140093482631002,1000,117.708
AutoMOPSORE,DTLZ3,EP,1,0.17693572796655788,1100,123.198
AutoMOPSORE,DTLZ3,EP,1,0.14867654138518602,1200,142.851
AutoMOPSORE,DTLZ3,EP,1,0.12954675164119037,1300,161.127
AutoMOPSORE,DTLZ3,EP,1,0.12070417192500464,1400,167.123
AutoMOPSORE,DTLZ3,EP,1,0.11479091158278726,1500,174.233
AutoMOPSORE,DTLZ3,EP,1,0.10492431410354264,1600,191.364
AutoMOPSORE,DTLZ3,EP,1,0.09473766470541364,1700,204.642
AutoMOPSORE,DTLZ3,EP,1,0.07929124275045432,1800,212.04
AutoMOPSORE,DTLZ3,EP,1,0.07903857077343544,1900,230.91
AutoMOPSORE,DTLZ3,EP,1,0.0681572283568559,2000,244.622
AutoMOPSORE,DTLZ3,EP,1,0.0681572283568559,2100,249.806
AutoMOPSORE,DTLZ3,EP,1,0.04847097627129636,2200,258.427
AutoMOPSORE,DTLZ3,EP,1,0.045474006302908127,2300,264.801
AutoMOPSORE,DTLZ3,EP,1,0.04498213756808263,2400,273.338
AutoMOPSORE,DTLZ3,EP,1,0.04376787178574518,2500,286.676
AutoMOPSORE,DTLZ3,EP,2,1.0692554754747814,100,9.745
AutoMOPSORE,DTLZ3,EP,2,0.8468316214955421,200,23.788
AutoMOPSORE,DTLZ3,EP,2,0.697349069209543,300,35.507
AutoMOPSORE,DTLZ3,EP,2,0.592566190567816,400,49.018
AutoMOPSORE,DTLZ3,EP,2,0.48972395380186423,500,66.619
AutoMOPSORE,DTLZ3,EP,2,0.4129832231694375,600,82.422
AutoMOPSORE,DTLZ3,EP,2,0.34210577447007207,700,88.526
AutoMOPSORE,DTLZ3,EP,2,0.2668341691049083,800,98.169
AutoMOPSORE,DTLZ3,EP,2,0.239404443082863,900,109.599
AutoMOPSORE,DTLZ3,EP,2,0.19321845200345417,1000,117.708
AutoMOPSORE,DTLZ3,EP,2,0.16284307866025372,1100,123.198
AutoMOPSORE,DTLZ3,EP,2,0.14211980568296315,1200,142.851
AutoMOPSORE,DTLZ3,EP,2,0.1229727084072279,1300,161.127
AutoMOPSORE,DTLZ3,EP,2,0.1129558158463398,1400,167.123
AutoMOPSORE,DTLZ3,EP,2,0.11110370826166716,1500,174.233
AutoMOPSORE,DTLZ3,EP,2,0.09839437424172354,1600,191.364
AutoMOPSORE,DTLZ3,EP,2,0.09126836461416908,1700,204.642
AutoMOPSORE,DTLZ3,EP,2,0.07506834697725343,1800,212.04
AutoMOPSORE,DTLZ3,EP,2,0.07506834697725343,1900,230.91
AutoMOPSORE,DTLZ3,EP,2,0.06627324460203823,2000,244.622
AutoMOPSORE,DTLZ3,EP,2,0.06336503614787413,2100,249.806
AutoMOPSORE,DTLZ3,EP,2,0.04528462840948743,2200,258.427
AutoMOPSORE,DTLZ3,EP,2,0.04290340855547889,2300,264.801
AutoMOPSORE,DTLZ3,EP,2,0.04290340855547889,2400,273.338
AutoMOPSORE,DTLZ3,EP,2,0.04290340855547889,2500,286.676
AutoMOPSORE,DTLZ3,EP,3,1.1096417830078165,100,9.745
AutoMOPSORE,DTLZ3,EP,3,0.9179954833726542,200,23.788
AutoMOPSORE,DTLZ3,EP,3,0.7572759135466924,300,35.507
AutoMOPSORE,DTLZ3,EP,3,0.6181001622608328,400,49.018
AutoMOPSORE,DTLZ3,EP,3,0.5184206315206574,500,66.619
AutoMOPSORE,DTLZ3,EP,3,0.4389229560247475,600,82.422
AutoMOPSORE,DTLZ3,EP,3,0.35859203001545603,700,88.526
AutoMOPSORE,DTLZ3,EP,3,0.2752035987550031,800,98.169
AutoMOPSORE,DTLZ3,EP,3,0.25468533673184673,900,109.599
AutoMOPSORE,DTLZ3,EP,3,0.202982581252151,1000,117.708
AutoMOPSORE,DTLZ3,EP,3,0.18039880394401217,1100,123.198
AutoMOPSORE,DTLZ3,EP,3,0.1505939395070259,1200,142.851
AutoMOPSORE,DTLZ3,EP,3,0.13621632778303988,1300,161.127
AutoMOPSORE,DTLZ3,EP,3,0.12707966537466847,1400,167.123
AutoMOPSORE,DTLZ3,EP,3,0.11904267223252996,1500,174.233
AutoMOPSORE,DTLZ3,EP,3,0.10584138326733815,1600,191.364
AutoMOPSORE,DTLZ3,EP,3,0.0969976407959901,1700,204.642
AutoMOPSORE,DTLZ3,EP,3,0.08092627266338875,1800,212.04
AutoMOPSORE,DTLZ3,EP,3,0.07967743974476478,1900,230.91
AutoMOPSORE,DTLZ3,EP,3,0.0687627213618224,2000,244.622
AutoMOPSORE,DTLZ3,EP,3,0.0687627213618224,2100,249.806
AutoMOPSORE,DTLZ3,EP,3,0.04969401860091179,2200,258.427
AutoMOPSORE,DTLZ3,EP,3,0.04556853220689442,2300,264.801
AutoMOPSORE,DTLZ3,EP,3,0.04556853220689442,2400,273.338
AutoMOPSORE,DTLZ3,EP,3,0.04556853220689442,2500,286.676
AutoMOPSORE,DTLZ3,EP,4,1.0750066813046781,100,9.745
AutoMOPSORE,DTLZ3,EP,4,0.8805394760508695,200,23.788
AutoMOPSORE,DTLZ3,EP,4,0.7258920093291104,300,35.507
AutoMOPSORE,DTLZ3,EP,4,0.6404143015978933,400,49.018
AutoMOPSORE,DTLZ3,EP,4,0.5048980938653492,500,66.619
AutoMOPSORE,DTLZ3,EP,4,0.43496684062117785,600,82.422
AutoMOPSORE,DTLZ3,EP,4,0.35593913208451783,700,88.526
AutoMOPSORE,DTLZ3,EP,4,0.2711405129265871,800,98.169
AutoMOPSORE,DTLZ3,EP,4,0.2543214416412073,900,109.599
AutoMOPSORE,DTLZ3,EP,4,0.19880877147195894,1000,117.708
AutoMOPSORE,DTLZ3,EP,4,0.16672387496759528,1100,123.198
AutoMOPSORE,DTLZ3,EP,4,0.14507650146299084,1200,142.851
AutoMOPSORE,DTLZ3,EP,4,0.1305978528689755,1300,161.127
AutoMOPSORE,DTLZ3,EP,4,0.1202560784420724,1400,167.123
AutoMOPSORE,DTLZ3,EP,4,0.11924070083767495,1500,174.233
AutoMOPSORE,DTLZ3,EP,4,0.1038174494264259,1600,191.364
AutoMOPSORE,DTLZ3,EP,4,0.09658120461351317,1700,204.642
AutoMOPSORE,DTLZ3,EP,4,0.07807800938606764,1800,212.04
AutoMOPSORE,DTLZ3,EP,4,0.07807800938606764,1900,230.91
AutoMOPSORE,DTLZ3,EP,4,0.06818419720017195,2000,244.622
AutoMOPSORE,DTLZ3,EP,4,0.06818419720017195,2100,249.806
AutoMOPSORE,DTLZ3,EP,4,0.04740676148550924,2200,258.427
AutoMOPSORE,DTLZ3,EP,4,0.045008563817154894,2300,264.801
AutoMOPSORE,DTLZ3,EP,4,0.045008563817154894,2400,273.338
AutoMOPSORE,DTLZ3,EP,4,0.044523399829533565,2500,286.676
AutoMOPSORE,DTLZ3,EP,5,1.0713362483654674,100,9.745
AutoMOPSORE,DTLZ3,EP,5,0.908680592312656,200,23.788
AutoMOPSORE,DTLZ3,EP,5,0.7408272240765493,300,35.507
AutoMOPSORE,DTLZ3,EP,5,0.6265076390156405,400,49.018
AutoMOPSORE,DTLZ3,EP,5,0.5066652425178547,500,66.619
AutoMOPSORE,DTLZ3,EP,5,0.4246685053798493,600,82.422
AutoMOPSORE,DTLZ3,EP,5,0.34789488360702747,700,88.526
AutoMOPSORE,DTLZ3,EP,5,0.2751364456555764,800,98.169
AutoMOPSORE,DTLZ3,EP,5,0.25091615122613986,900,109.599
AutoMOPSORE,DTLZ3,EP,5,0.20176336204361595,1000,117.708
AutoMOPSORE,DTLZ3,EP,5,0.17109959355149637,1100,123.198
AutoMOPSORE,DTLZ3,EP,5,0.14254211145941814,1200,142.851
AutoMOPSORE,DTLZ3,EP,5,0.13169185943516454,1300,161.127
AutoMOPSORE,DTLZ3,EP,5,0.11820378996439686,1400,167.123
AutoMOPSORE,DTLZ3,EP,5,0.11695164261158994,1500,174.233
AutoMOPSORE,DTLZ3,EP,5,0.10516716058103555,1600,191.364
AutoMOPSORE,DTLZ3,EP,5,0.09389675264396856,1700,204.642
AutoMOPSORE,DTLZ3,EP,5,0.07895695875983713,1800,212.04
AutoMOPSORE,DTLZ3,EP,5,0.07895695875983713,1900,230.91
AutoMOPSORE,DTLZ3,EP,5,0.06687910604067396,2000,244.622
AutoMOPSORE,DTLZ3,EP,5,0.06687910604067396,2100,249.806
AutoMOPSORE,DTLZ3,EP,5,0.04841193931196423,2200,258.427
AutoMOPSORE,DTLZ3,EP,5,0.04561690190079535,2300,264.801
AutoMOPSORE,DTLZ3,EP,5,0.043690440211811815,2400,273.338
AutoMOPSORE,DTLZ3,EP,5,0.043690440211811815,2500,286.676
AutoMOPSORE,DTLZ3,EP,6,1.0421512505762942,100,9.745
AutoMOPSORE,DTLZ3,EP,6,0.8778473560642168,200,23.788
AutoMOPSORE,DTLZ3,EP,6,0.7207486070455705,300,35.507
AutoMOPSORE,DTLZ3,EP,6,0.614083911638449,400,49.018
AutoMOPSORE,DTLZ3,EP,6,0.49372203545849996,500,66.619
AutoMOPSORE,DTLZ3,EP,6,0.41689820504558456,600,82.422
AutoMOPSORE,DTLZ3,EP,6,0.3413618262899682,700,88.526
AutoMOPSORE,DTLZ3,EP,6,0.2629760595433809,800,98.169
AutoMOPSORE,DTLZ3,EP,6,0.24515219399383953,900,109.599
AutoMOPSORE,DTLZ3,EP,6,0.19790750469050394,1000,117.708
AutoMOPSORE,DTLZ3,EP,6,0.1660757492579904,1100,123.198
AutoMOPSORE,DTLZ3,EP,6,0.14825307194378548,1200,142.851
AutoMOPSORE,DTLZ3,EP,6,0.12911049194882204,1300,161.127
AutoMOPSORE,DTLZ3,EP,6,0.11581150250315247,1400,167.123
AutoMOPSORE,DTLZ3,EP,6,0.11456648044624557,1500,174.233
AutoMOPSORE,DTLZ3,EP,6,0.10294482858558375,1600,191.364
AutoMOPSORE,DTLZ3,EP,6,0.09256276026101123,1700,204.642
AutoMOPSORE,DTLZ3,EP,6,0.07691637972256457,1800,212.04
AutoMOPSORE,DTLZ3,EP,6,0.07597072724732498,1900,230.91
AutoMOPSORE,DTLZ3,EP,6,0.0676997553005313,2000,244.622
AutoMOPSORE,DTLZ3,EP,6,0.0662238540571267,2100,249.806
AutoMOPSORE,DTLZ3,EP,6,0.046192831715487645,2200,258.427
AutoMOPSORE,DTLZ3,EP,6,0.04404431060130671,2300,264.801
AutoMOPSORE,DTLZ3,EP,6,0.043237491451704885,2400,273.338
AutoMOPSORE,DTLZ3,EP,6,0.043098810456757945,2500,286.676
AutoMOPSORE,DTLZ3,EP,7,1.0635476141781834,100,9.745
AutoMOPSORE,DTLZ3,EP,7,0.8738947450392492,200,23.788
AutoMOPSORE,DTLZ3,EP,7,0.739620484374596,300,35.507
AutoMOPSORE,DTLZ3,EP,7,0.6114671364873712,400,49.018
AutoMOPSORE,DTLZ3,EP,7,0.5133673966715803,500,66.619
AutoMOPSORE,DTLZ3,EP,7,0.4185434263884491,600,82.422
AutoMOPSORE,DTLZ3,EP,7,0.3363290687105441,700,88.526
AutoMOPSORE,DTLZ3,EP,7,0.27111611313369005,800,98.169
AutoMOPSORE,DTLZ3,EP,7,0.25870026849188776,900,109.599
AutoMOPSORE,DTLZ3,EP,7,0.19907850467128146,1000,117.708
AutoMOPSORE,DTLZ3,EP,7,0.1782801394878703,1100,123.198
AutoMOPSORE,DTLZ3,EP,7,0.14853566631066842,1200,142.851
AutoMOPSORE,DTLZ3,EP,7,0.130299795103565,1300,161.127
AutoMOPSORE,DTLZ3,EP,7,0.11648405902338664,1400,167.123
AutoMOPSORE,DTLZ3,EP,7,0.11609345519321432,1500,174.233
AutoMOPSORE,DTLZ3,EP,7,0.10392250456260471,1600,191.364
AutoMOPSORE,DTLZ3,EP,7,0.09276961090120191,1700,204.642
AutoMOPSORE,DTLZ3,EP,7,0.07807955308790648,1800,212.04
AutoMOPSORE,DTLZ3,EP,7,0.07807955308790648,1900,230.91
AutoMOPSORE,DTLZ3,EP,7,0.0671396401676165,2000,244.622
AutoMOPSORE,DTLZ3,EP,7,0.0671396401676165,2100,249.806
AutoMOPSORE,DTLZ3,EP,7,0.04726468130076047,2200,258.427
AutoMOPSORE,DTLZ3,EP,7,0.044507153637230804,2300,264.801
AutoMOPSORE,DTLZ3,EP,7,0.04412183291165596,2400,273.338
AutoMOPSORE,DTLZ3,EP,7,0.04412183291165596,2500,286.676
AutoMOPSORE,DTLZ3,EP,8,1.0847920722494426,100,9.745
AutoMOPSORE,DTLZ3,EP,8,0.872642420272765,200,23.788
AutoMOPSORE,DTLZ3,EP,8,0.7435736623438316,300,35.507
AutoMOPSORE,DTLZ3,EP,8,0.6181881536801117,400,49.018
AutoMOPSORE,DTLZ3,EP,8,0.5103721178779633,500,66.619
AutoMOPSORE,DTLZ3,EP,8,0.42234735231510556,600,82.422
AutoMOPSORE,DTLZ3,EP,8,0.357672061186115,700,88.526
AutoMOPSORE,DTLZ3,EP,8,0.27778598447420055,800,98.169
AutoMOPSORE,DTLZ3,EP,8,0.26058677578170636,900,109.599
AutoMOPSORE,DTLZ3,EP,8,0.2036729604292809,1000,117.708
AutoMOPSORE,DTLZ3,EP,8,0.1738971272624853,1100,123.198
AutoMOPSORE,DTLZ3,EP,8,0.14729598935238247,1200,142.851
AutoMOPSORE,DTLZ3,EP,8,0.13527030557810754,1300,161.127
AutoMOPSORE,DTLZ3,EP,8,0.12040078242726109,1400,167.123
AutoMOPSORE,DTLZ3,EP,8,0.11648475798143164,1500,174.233
AutoMOPSORE,DTLZ3,EP,8,0.10621196765879931,1600,191.364
AutoMOPSORE,DTLZ3,EP,8,0.09571574366185956,1700,204.642
AutoMOPSORE,DTLZ3,EP,8,0.08000998778393656,1800,212.04
AutoMOPSORE,DTLZ3,EP,8,0.0788577934060604,1900,230.91
AutoMOPSORE,DTLZ3,EP,8,0.06764261074044471,2000,244.622
AutoMOPSORE,DTLZ3,EP,8,0.06764261074044471,2100,249.806
AutoMOPSORE,DTLZ3,EP,8,0.04816574147534518,2200,258.427
AutoMOPSORE,DTLZ3,EP,8,0.0449032928687958,2300,264.801
AutoMOPSORE,DTLZ3,EP,8,0.04453237740248993,2400,273.338
AutoMOPSORE,DTLZ3,EP,8,0.04453237740248993,2500,286.676
AutoMOPSORE,DTLZ3,EP,9,1.089658182810951,100,9.745
AutoMOPSORE,DTLZ3,EP,9,0.9040824438082345,200,23.788
AutoMOPSORE,DTLZ3,EP,9,0.760786010249598,300,35.507
AutoMOPSORE,DTLZ3,EP,9,0.6158690137844849,400,49.018
AutoMOPSORE,DTLZ3,EP,9,0.5114344786166964,500,66.619
AutoMOPSORE,DTLZ3,EP,9,0.42600742807728564,600,82.422
AutoMOPSORE,DTLZ3,EP,9,0.3519030837934305,700,88.526
AutoMOPSORE,DTLZ3,EP,9,0.27209337265274164,800,98.169
AutoMOPSORE,DTLZ3,EP,9,0.25326846888233334,900,109.599
AutoMOPSORE,DTLZ3,EP,9,0.195984353055744,1000,117.708
AutoMOPSORE,DTLZ3,EP,9,0.17271533143034237,1100,123.198
AutoMOPSORE,DTLZ3,EP,9,0.15089336968017913,1200,142.851
AutoMOPSORE,DTLZ3,EP,9,0.13537356217284197,1300,161.127
AutoMOPSORE,DTLZ3,EP,9,0.12301282214962217,1400,167.123
AutoMOPSORE,DTLZ3,EP,9,0.11623002787742352,1500,174.233
AutoMOPSORE,DTLZ3,EP,9,0.10302387535028015,1600,191.364
AutoMOPSORE,DTLZ3,EP,9,0.09297026409430392,1700,204.642
AutoMOPSORE,DTLZ3,EP,9,0.07783902167440372,1800,212.04
AutoMOPSORE,DTLZ3,EP,9,0.07783902167440372,1900,230.91
AutoMOPSORE,DTLZ3,EP,9,0.06859084402647635,2000,244.622
AutoMOPSORE,DTLZ3,EP,9,0.0677031611803433,2100,249.806
AutoMOPSORE,DTLZ3,EP,9,0.047528698496816464,2200,258.427
AutoMOPSORE,DTLZ3,EP,9,0.044460370593236445,2300,264.801
AutoMOPSORE,DTLZ3,EP,9,0.044460370593236445,2400,273.338
AutoMOPSORE,DTLZ3,EP,9,0.044460370593236445,2500,286.676
AutoMOPSORE,DTLZ3,EP,10,1.0601933079377739,100,9.745
AutoMOPSORE,DTLZ3,EP,10,0.9248640620495601,200,23.788
AutoMOPSORE,DTLZ3,EP,10,0.724454707268239,300,35.507
AutoMOPSORE,DTLZ3,EP,10,0.6123841875850886,400,49.018
AutoMOPSORE,DTLZ3,EP,10,0.518202133760964,500,66.619
AutoMOPSORE,DTLZ3,EP,10,0.43039312873343133,600,82.422
AutoMOPSORE,DTLZ3,EP,10,0.3459175347863346,700,88.526
AutoMOPSORE,DTLZ3,EP,10,0.2678218430751719,800,98.169
AutoMOPSORE,DTLZ3,EP,10,0.2501395715599874,900,109.599
AutoMOPSORE,DTLZ3,EP,10,0.196501947173322,1000,117.708
AutoMOPSORE,DTLZ3,EP,10,0.17150363345625808,1100,123.198
AutoMOPSORE,DTLZ3,EP,10,0.14950889246816257,1200,142.851
AutoMOPSORE,DTLZ3,EP,10,0.1306766293124497,1300,161.127
AutoMOPSORE,DTLZ3,EP,10,0.12139250608004881,1400,167.123
AutoMOPSORE,DTLZ3,EP,10,0.11451665800232261,1500,174.233
AutoMOPSORE,DTLZ3,EP,10,0.10502177437482595,1600,191.364
AutoMOPSORE,DTLZ3,EP,10,0.09596940979183095,1700,204.642
AutoMOPSORE,DTLZ3,EP,10,0.07873100778703156,1800,212.04
AutoMOPSORE,DTLZ3,EP,10,0.07870791115401717,1900,230.91
AutoMOPSORE,DTLZ3,EP,10,0.06799473785234117,2000,244.622
AutoMOPSORE,DTLZ3,EP,10,0.06799473785234117,2100,249.806
AutoMOPSORE,DTLZ3,EP,10,0.0473021223536959,2200,258.427
AutoMOPSORE,DTLZ3,EP,10,0.04575572694664135,2300,264.801
AutoMOPSORE,DTLZ3,EP,10,0.04506360266065962,2400,273.338
AutoMOPSORE,DTLZ3,EP,10,0.04479973230954459,2500,286.676
AutoMOPSORE,DTLZ3,GD,1,1.1952001797870413,100,14.621
AutoMOPSORE,DTLZ3,GD,1,1.0082968576608031,200,32.233
AutoMOPSORE,DTLZ3,GD,1,0.8174950890858036,300,47.421
AutoMOPSORE,DTLZ3,GD,1,0.6586461987570852,400,58.696
AutoMOPSORE,DTLZ3,GD,1,0.5414623826131385,500,69.96
AutoMOPSORE,DTLZ3,GD,1,0.4577998235976398,600,84.285
AutoMOPSORE,DTLZ3,GD,1,0.367960322879358,700,98.65
AutoMOPSORE,DTLZ3,GD,1,0.3166365564130794,800,106.759
AutoMOPSORE,DTLZ3,GD,1,0.2605392635312099,900,126.11
AutoMOPSORE,DTLZ3,GD,1,0.2322413318677377,1000,135.572
AutoMOPSORE,DTLZ3,GD,1,0.19864750228360775,1100,149.88
AutoMOPSORE,DTLZ3,GD,1,0.16635626235411194,1200,169.389
AutoMOPSORE,DTLZ3,GD,1,0.13966569876315324,1300,185.487
AutoMOPSORE,DTLZ3,GD,1,0.10191204810208845,1400,199.681
AutoMOPSORE,DTLZ3,GD,1,0.10002909753485614,1500,205.59
AutoMOPSORE,DTLZ3,GD,1,0.08454233010461837,1600,224.983
AutoMOPSORE,DTLZ3,GD,1,0.07616259431793145,1700,237.715
AutoMOPSORE,DTLZ3,GD,1,0.06979308309137108,1800,255.195
AutoMOPSORE,DTLZ3,GD,1,0.061399899690888896,1900,270.162
AutoMOPSORE,DTLZ3,GD,1,0.06120009520245247,2000,289.157
AutoMOPSORE,DTLZ3,GD,1,0.054348377194699,2100,303.385
AutoMOPSORE,DTLZ3,GD,1,0.054348377194699,2200,315.762
AutoMOPSORE,DTLZ3,GD,1,0.03986757555150131,2300,331.076
AutoMOPSORE,DTLZ3,GD,1,0.03986757555150131,2400,336.622
AutoMOPSORE,DTLZ3,GD,1,0.023219599935094506,2500,341.915
AutoMOPSORE,DTLZ3,GD,2,1.1731577235989377,100,14.621
AutoMOPSORE,DTLZ3,GD,2,0.9868598047754944,200,32.233
AutoMOPSORE,DTLZ3,GD,2,0.7967952391390902,300,47.421
AutoMOPSORE,DTLZ3,GD,2,0.6633073192403145,400,58.696
AutoMOPSORE,DTLZ3,GD,2,0.5207358139115025,500,69.96
